Category,City,Country/Region,Customer ID,Customer Name,Order Date,Order ID,Postal Code,Product ID,Product Name,Region,Row ID,Segment,Ship Date,Ship Mode,State,Sub-Category,Discount,Profit,Quantity,Sales
Furniture,Henderson,United States,CG-12520,Claire Gute,11/8/2020,CA-2020-152156,42420,FUR-BO-10001798,Bush Somerset Collection Bookcase,South,1,Consumer,11/11/2020,Second Class,Kentucky,Bookcases,0,41.9136,2,261.96
Furniture,Henderson,United States,CG-12520,Claire Gute,11/8/2020,CA-2020-152156,42420,FUR-CH-10000454,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",South,2,Consumer,11/11/2020,Second Class,Kentucky,Chairs,0,219.582,3,731.94
Office Supplies,Los Angeles,United States,DV-13045,Darrin Van Huff,6/12/2020,CA-2020-138688,90036,OFF-LA-10000240,Self-Adhesive Address Labels for Typewriters by Universal,West,3,Corporate,6/16/2020,Second Class,California,Labels,0,6.8714,2,14.62
Furniture,Fort Lauderdale,United States,SO-20335,Sean O'Donnell,10/11/2019,US-2019-108966,33311,FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,South,4,Consumer,10/18/2019,Standard Class,Florida,Tables,0.45,-383.031,5,957.5775
Office Supplies,Fort Lauderdale,United States,SO-20335,Sean O'Donnell,10/11/2019,US-2019-108966,33311,OFF-ST-10000760,Eldon Fold 'N Roll Cart System,South,5,Consumer,10/18/2019,Standard Class,Florida,Storage,0.2,2.5164,2,22.368
Furniture,Los Angeles,United States,BH-11710,Brosina Hoffman,6/9/2018,CA-2018-115812,90032,FUR-FU-10001487,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",West,6,Consumer,6/14/2018,Standard Class,California,Furnishings,0,14.1694,7,48.86
Office Supplies,Los Angeles,United States,BH-11710,Brosina Hoffman,6/9/2018,CA-2018-115812,90032,OFF-AR-10002833,Newell 322,West,7,Consumer,6/14/2018,Standard Class,California,Art,0,1.9656,4,7.28
Technology,Los Angeles,United States,BH-11710,Brosina Hoffman,6/9/2018,CA-2018-115812,90032,TEC-PH-10002275,Mitel 5320 IP Phone VoIP phone,West,8,Consumer,6/14/2018,Standard Class,California,Phones,0.2,90.7152,6,907.152
Office Supplies,Los Angeles,United States,BH-11710,Brosina Hoffman,6/9/2018,CA-2018-115812,90032,OFF-BI-10003910,DXL Angle-View Binders with Locking Rings by Samsill,West,9,Consumer,6/14/2018,Standard Class,California,Binders,0.2,5.7825,3,18.504
Office Supplies,Los Angeles,United States,BH-11710,Brosina Hoffman,6/9/2018,CA-2018-115812,90032,OFF-AP-10002892,Belkin F5C206VTEL 6 Outlet Surge,West,10,Consumer,6/14/2018,Standard Class,California,Appliances,0,34.47,5,114.9
Furniture,Los Angeles,United States,BH-11710,Brosina Hoffman,6/9/2018,CA-2018-115812,90032,FUR-TA-10001539,Chromcraft Rectangular Conference Tables,West,11,Consumer,6/14/2018,Standard Class,California,Tables,0.2,85.309200000,9,1706.184
Technology,Los Angeles,United States,BH-11710,Brosina Hoffman,6/9/2018,CA-2018-115812,90032,TEC-PH-10002033,Konftel 250 Conference phone - Charcoal black,West,12,Consumer,6/14/2018,Standard Class,California,Phones,0.2,68.3568,4,911.424
Office Supplies,Concord,United States,AA-10480,Andrew Allen,4/15/2021,CA-2021-114412,28027,OFF-PA-10002365,Xerox 1967,South,13,Consumer,4/20/2021,Standard Class,North Carolina,Paper,0.2,5.4432,3,15.552
Office Supplies,Seattle,United States,IM-15070,Irene Maddox,12/5/2020,CA-2020-161389,98103,OFF-BI-10003656,Fellowes PB200 Plastic Comb Binding Machine,West,14,Consumer,12/10/2020,Standard Class,Washington,Binders,0.2,132.5922,3,407.976
Office Supplies,Fort Worth,United States,HP-14815,Harold Pawlan,11/22/2019,US-2019-118983,76106,OFF-AP-10002311,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Central,15,Home Office,11/26/2019,Standard Class,Texas,Appliances,0.8,-123.858,5,68.81
Office Supplies,Fort Worth,United States,HP-14815,Harold Pawlan,11/22/2019,US-2019-118983,76106,OFF-BI-10000756,Storex DuraTech Recycled Plastic Frosted Binders,Central,16,Home Office,11/26/2019,Standard Class,Texas,Binders,0.8,-3.816,3,2.544
Office Supplies,Madison,United States,PK-19075,Pete Kriz,11/11/2018,CA-2018-105893,53711,OFF-ST-10004186,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",Central,17,Consumer,11/18/2018,Standard Class,Wisconsin,Storage,0,13.3176,6,665.88
Office Supplies,West Jordan,United States,AG-10270,Alejandro Grove,5/13/2018,CA-2018-167164,84084,OFF-ST-10000107,Fellowes Super Stor/Drawer,West,18,Consumer,5/15/2018,Second Class,Utah,Storage,0,9.990000000,2,55.5
Office Supplies,San Francisco,United States,ZD-21925,Zuschuss Donatelli,8/27/2018,CA-2018-143336,94109,OFF-AR-10003056,Newell 341,West,19,Consumer,9/1/2018,Second Class,California,Art,0,2.4824,2,8.56
Technology,San Francisco,United States,ZD-21925,Zuschuss Donatelli,8/27/2018,CA-2018-143336,94109,TEC-PH-10001949,Cisco SPA 501G IP Phone,West,20,Consumer,9/1/2018,Second Class,California,Phones,0.2,16.011,3,213.48
Office Supplies,San Francisco,United States,ZD-21925,Zuschuss Donatelli,8/27/2018,CA-2018-143336,94109,OFF-BI-10002215,"Wilson Jones Hanging View Binder, White, 1""",West,21,Consumer,9/1/2018,Second Class,California,Binders,0.2,7.384,4,22.72
Office Supplies,Fremont,United States,KB-16585,Ken Black,12/9/2020,CA-2020-137330,68025,OFF-AR-10000246,Newell 318,Central,22,Corporate,12/13/2020,Standard Class,Nebraska,Art,0,5.0596,7,19.46
Office Supplies,Fremont,United States,KB-16585,Ken Black,12/9/2020,CA-2020-137330,68025,OFF-AP-10001492,"Acco Six-Outlet Power Strip, 4' Cord Length",Central,23,Corporate,12/13/2020,Standard Class,Nebraska,Appliances,0,15.6884,7,60.34
Furniture,Philadelphia,United States,SF-20065,Sandra Flanagan,7/16/2021,US-2021-156909,19140,FUR-CH-10002774,"Global Deluxe Stacking Chair, Gray",East,24,Consumer,7/18/2021,Second Class,Pennsylvania,Chairs,0.3,-1.0196,2,71.372
Furniture,Orem,United States,EB-13870,Emily Burns,9/25/2019,CA-2019-106320,84057,FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,West,25,Consumer,9/30/2019,Standard Class,Utah,Tables,0,240.2649,3,1044.63
Office Supplies,Los Angeles,United States,EH-13945,Eric Hoffmann,1/16/2020,CA-2020-121755,90049,OFF-BI-10001634,Wilson Jones Active Use Binders,West,26,Consumer,1/20/2020,Second Class,California,Binders,0.2,4.2224,2,11.648
Technology,Los Angeles,United States,EH-13945,Eric Hoffmann,1/16/2020,CA-2020-121755,90049,TEC-AC-10003027,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,West,27,Consumer,1/20/2020,Second Class,California,Accessories,0,11.7741,3,90.57
Furniture,Philadelphia,United States,TB-21520,Tracy Blumstein,9/17/2019,US-2019-150630,19140,FUR-BO-10004834,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",East,28,Consumer,9/21/2019,Standard Class,Pennsylvania,Bookcases,0.5,-1665.0522,7,3083.43
Office Supplies,Philadelphia,United States,TB-21520,Tracy Blumstein,9/17/2019,US-2019-150630,19140,OFF-BI-10000474,Avery Recycled Flexi-View Covers for Binding Systems,East,29,Consumer,9/21/2019,Standard Class,Pennsylvania,Binders,0.7,-7.0532,2,9.618
Furniture,Philadelphia,United States,TB-21520,Tracy Blumstein,9/17/2019,US-2019-150630,19140,FUR-FU-10004848,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",East,30,Consumer,9/21/2019,Standard Class,Pennsylvania,Furnishings,0.2,15.525,3,124.2
Office Supplies,Philadelphia,United States,TB-21520,Tracy Blumstein,9/17/2019,US-2019-150630,19140,OFF-EN-10001509,Poly String Tie Envelopes,East,31,Consumer,9/21/2019,Standard Class,Pennsylvania,Envelopes,0.2,1.1016,2,3.264
Office Supplies,Philadelphia,United States,TB-21520,Tracy Blumstein,9/17/2019,US-2019-150630,19140,OFF-AR-10004042,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",East,32,Consumer,9/21/2019,Standard Class,Pennsylvania,Art,0.2,9.709200000,6,86.304
Office Supplies,Philadelphia,United States,TB-21520,Tracy Blumstein,9/17/2019,US-2019-150630,19140,OFF-BI-10001525,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",East,33,Consumer,9/21/2019,Standard Class,Pennsylvania,Binders,0.7,-5.715,6,6.858
Office Supplies,Philadelphia,United States,TB-21520,Tracy Blumstein,9/17/2019,US-2019-150630,19140,OFF-AR-10001683,Lumber Crayons,East,34,Consumer,9/21/2019,Standard Class,Pennsylvania,Art,0.2,3.546,2,15.76
